iter	Passed	Remaining
0	57	57798
1	58	29050
2	58	19488
3	59	14759
4	59	11875
5	60	9951
6	60	8573
7	60	7546
8	61	6744
9	61	6106
10	62	5578
11	62	5135
12	62	4756
13	62	4431
14	63	4149
15	63	3905
16	63	3697
17	64	3505
18	64	3334
19	64	3179
20	65	3036
21	65	2910
22	65	2795
23	66	2688
24	66	2594
25	66	2503
26	67	2419
27	67	2340
28	67	2267
29	68	2200
30	68	2136
31	68	2076
32	69	2024
33	69	1976
34	69	1926
35	70	1879
36	70	1833
37	70	1794
38	71	1754
39	71	1719
40	71	1683
41	72	1649
42	72	1617
43	72	1584
44	73	1553
45	73	1524
46	73	1496
47	74	1468
48	74	1445
49	74	1420
50	75	1396
51	75	1373
52	75	1352
53	75	1331
54	76	1311
55	76	1292
56	76	1273
57	77	1254
58	77	1236
59	77	1221
60	78	1204
61	78	1189
62	78	1174
63	79	1159
64	79	1144
65	79	1131
66	80	1117
67	80	1105
68	81	1093
69	81	1080
70	81	1068
71	81	1056
72	82	1044
73	82	1033
74	82	1023
75	83	1012
76	83	1001
77	83	991
78	84	981
79	84	971
80	84	962
81	85	953
82	85	942
83	85	933
84	85	924
85	86	916
86	86	908
87	86	901
88	87	893
89	87	886
90	87	878
91	88	871
92	88	865
93	89	858
94	89	851
95	89	845
96	90	838
97	90	833
98	90	828
99	91	822
100	91	816
101	92	810
102	92	805
103	92	800
104	93	794
105	93	790
106	94	785
107	94	780
108	94	774
109	95	769
110	95	764
111	95	760
112	96	755
113	96	751
114	96	745
115	97	741
116	97	736
117	97	732
118	98	728
119	98	723
120	98	719
121	99	714
122	99	710
123	99	705
124	100	701
125	100	697
126	100	692
127	101	688
128	101	685
129	101	681
130	102	677
131	102	674
132	102	671
133	103	667
134	103	663
135	103	659
136	104	656
137	104	652
138	104	648
139	105	645
140	105	642
141	105	637
142	105	634
143	106	632
144	106	629
145	107	626
146	107	623
147	107	620
148	108	617
149	108	614
150	108	611
151	109	609
152	109	606
153	109	603
154	110	600
155	110	598
156	110	595
157	111	592
158	111	589
159	111	587
160	111	583
161	112	580
162	112	578
163	112	575
164	113	573
165	113	570
166	114	568
167	114	566
168	114	564
169	115	562
170	115	560
171	115	558
172	116	556
173	116	554
174	117	552
175	117	550
176	117	548
177	118	545
178	118	543
179	118	541
180	119	538
181	119	536
182	119	534
183	119	532
184	120	529
185	120	527
186	120	525
187	121	523
188	121	521
189	121	519
190	122	517
191	122	516
192	122	514
193	123	511
194	123	509
195	123	507
196	124	505
197	124	504
198	124	502
199	125	501
200	125	499
201	126	497
202	126	496
203	126	494
204	127	493
205	127	491
206	127	489
207	128	488
208	128	486
209	129	485
210	129	484
211	129	482
212	130	480
213	130	479
214	130	477
215	131	476
216	131	474
217	132	473
218	132	471
219	132	470
220	132	468
221	133	467
222	133	465
223	133	464
224	134	462
225	134	460
226	134	459
227	135	457
228	135	456
229	135	455
230	136	453
231	136	452
232	137	451
233	137	450
234	137	448
235	138	447
236	138	445
237	138	444
238	139	442
239	139	441
240	139	439
241	140	438
242	140	437
243	140	435
244	141	434
245	141	433
246	141	432
247	142	430
248	142	429
249	143	429
250	143	427
251	143	426
252	143	424
253	144	423
254	144	422
255	144	421
256	145	419
257	145	418
258	145	417
259	146	416
260	146	414
261	146	413
262	147	412
263	147	411
264	148	410
265	148	409
266	148	408
267	149	407
268	149	405
269	149	404
270	150	403
271	150	402
272	150	401
273	151	400
274	151	399
275	151	398
276	152	396
277	152	395
278	152	394
279	153	393
280	153	392
281	153	391
282	154	390
283	154	389
284	154	388
285	155	387
286	155	386
287	156	385
288	156	384
289	156	383
290	156	382
291	157	381
292	157	380
293	157	379
294	158	377
295	158	377
296	158	376
297	159	375
298	159	374
299	159	373
300	160	372
301	160	371
302	161	370
303	161	369
304	161	368
305	162	368
306	162	367
307	163	366
308	163	365
309	163	364
310	164	363
311	164	362
312	164	361
313	165	360
314	165	359
315	165	358
316	166	358
317	166	357
318	166	356
319	167	355
320	167	354
321	168	354
322	168	353
323	168	352
324	169	351
325	169	350
326	169	349
327	170	348
328	170	347
329	170	346
330	171	345
331	171	344
332	171	343
333	171	342
334	172	341
335	172	341
336	172	340
337	173	339
338	173	338
339	173	337
340	174	336
341	174	335
342	174	334
343	174	333
344	175	332
345	175	332
346	176	331
347	176	330
348	176	329
349	176	328
350	177	327
351	177	326
352	177	326
353	178	325
354	178	324
355	178	323
356	179	322
357	179	321
358	179	320
359	179	319
360	180	318
361	180	318
362	180	317
363	180	316
364	181	315
365	181	314
366	181	313
367	182	313
368	182	312
369	182	311
370	183	310
371	183	309
372	183	308
373	183	307
374	184	307
375	184	306
376	184	305
377	184	304
378	185	303
379	185	302
380	185	301
381	186	300
382	186	300
383	186	299
384	186	298
385	187	297
386	187	296
387	187	295
388	187	295
389	188	294
390	188	293
391	188	292
392	188	291
393	189	290
394	189	290
395	189	289
396	189	288
397	190	287
398	190	286
399	190	286
400	191	285
401	191	284
402	191	283
403	191	282
404	192	282
405	192	281
406	192	280
407	192	279
408	193	279
409	193	278
410	193	277
411	193	276
412	194	275
413	194	275
414	194	274
415	194	273
416	195	272
417	195	272
418	195	271
419	196	270
420	196	269
421	196	269
422	196	268
423	197	267
424	197	267
425	197	266
426	197	265
427	198	264
428	198	264
429	198	263
430	198	262
431	199	261
432	199	261
433	199	260
434	200	259
435	200	259
436	200	258
437	200	257
438	201	257
439	201	256
440	201	255
441	201	254
442	202	254
443	202	253
444	202	252
445	203	252
446	203	251
447	203	250
448	203	250
449	204	249
450	204	248
451	204	248
452	204	247
453	205	246
454	205	246
455	205	245
456	205	244
457	206	244
458	206	243
459	206	242
460	207	242
461	207	241
462	207	240
463	207	240
464	208	239
465	208	238
466	208	238
467	208	237
468	209	236
469	209	236
470	209	235
471	210	235
472	210	234
473	210	234
474	211	233
475	211	232
476	211	232
477	212	231
478	212	231
479	212	230
480	213	229
481	213	229
482	213	228
483	213	228
484	214	227
485	214	226
486	214	226
487	214	225
488	215	224
489	215	224
490	216	223
491	216	223
492	216	222
493	216	222
494	217	221
495	217	221
496	217	220
497	218	219
498	218	219
499	218	218
500	218	218
501	219	217
502	219	216
503	219	216
504	219	215
505	220	215
506	220	214
507	220	213
508	221	213
509	221	212
510	221	212
511	221	211
512	222	210
513	222	210
514	222	209
515	222	209
516	223	208
517	223	207
518	223	207
519	224	206
520	224	206
521	224	205
522	225	205
523	225	204
524	225	204
525	226	203
526	226	203
527	226	202
528	226	202
529	227	201
530	227	201
531	227	200
532	228	199
533	228	199
534	228	198
535	229	198
536	229	197
537	229	197
538	229	196
539	230	195
540	230	195
541	230	194
542	230	194
